category_level_1_name;category_level_2_name;category_level_3_name;category_level_4_name;category_level_5_name;category_action;category_id;category_url;;param_action;param_type;param_id;param_name;param_multiselect_on_posting;param_multiselect_on_filter;param_required_on_posting;;value_action;value_id;value_url;value_name
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75770;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/porsche;Porsche
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75774;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/qaz_75774_13;Qaz
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75769;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/range-rover;Range Rover
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75777;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/subaru_75777_13;Subaru
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75781;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/tesla_75781_13;Tesla
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75776;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/tofash;Tofa?
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75778;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/toyota;Toyota
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5334;Марка машинки;;;;;new;75775;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/vaz;Vaz
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5387;Особенности;ИСТИНА;ИСТИНА;ЛОЖЬ;;;;;
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5387;Особенности;;;;;new;76781;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/diger-idareetme-novu;Другой тип управления
Детский мир;Игрушки;Игрушечный транспорт;Игрушечные машинки;-;new;11169;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar;;new;dropdown;5387;Особенности;;;;;new;76891;https://lalafo.az/azerbaijan/igrushki/oyuncaq-neqliyyat/oyuncaq-mashinlar/batareya-ile-ishleyen;На батарейках
